=== Run 1 ===
Message ID | Bytes | Avg Latency | Num Latencies
ID 660003   | 38    bytes | 9829.89     | 88 latencies
ID 670001   | 37    bytes | 4440.15     | 88 latencies
ID 670002   | 736   bytes | 8625.97     | 88 latencies
ID 670003   | 38    bytes | 9772.94     | 88 latencies
ID 680001   | 37    bytes | 4464.81     | 88 latencies
ID 680002   | 736   bytes | 8125.74     | 88 latencies
ID 680003   | 38    bytes | 9891.70     | 88 latencies
ID 690001   | 37    bytes | 4195.15     | 88 latencies
ID 690002   | 736   bytes | 8647.05     | 88 latencies
ID 690003   | 38    bytes | 9576.40     | 88 latencies
ID 700001   | 37    bytes | 4467.91     | 88 latencies
ID 700002   | 736   bytes | 9838.90     | 88 latencies
ID 700003   | 38    bytes | 9884.24     | 88 latencies
ID 710001   | 37    bytes | 4400.82     | 88 latencies
ID 710002   | 736   bytes | 7776.80     | 88 latencies
ID 710003   | 38    bytes | 9870.51     | 88 latencies
ID 720001   | 37    bytes | 4348.82     | 88 latencies
ID 720002   | 736   bytes | 9687.65     | 88 latencies
ID 720003   | 38    bytes | 9776.78     | 88 latencies
ID 730001   | 37    bytes | 4056.42     | 88 latencies
ID 730002   | 736   bytes | 8361.31     | 88 latencies
ID 730003   | 38    bytes | 9740.15     | 88 latencies
ID 740001   | 37    bytes | 4315.01     | 88 latencies
ID 740002   | 736   bytes | 7541.47     | 88 latencies
ID 740003   | 38    bytes | 9886.76     | 88 latencies
ID 750001   | 37    bytes | 4061.57     | 88 latencies
ID 750002   | 736   bytes | 8611.05     | 88 latencies
ID 750003   | 38    bytes | 9602.81     | 88 latencies
